time,cadence,heartrate,distance,altitude,lat,lng,velocity,fixed_altitude
0,0,84,1.3,,45.516983,-73.527374,,11
1,0,84,1.3,,45.516983,-73.527374,0,11
2,0,84,3.1,,45.516987,-73.52735,0.9,11
3,0,85,5.2,,45.517,-73.52733,1.3,11
4,0,86,7.1,,45.51701,-73.5273,1.45,11
5,43,86,9.7,,45.517033,-73.527275,1.68,11
6,64,87,12.7,,45.51705,-73.52725,3,11
7,80,90,15.6,,45.51707,-73.52723,2.9,11
8,83,95,18.8,,45.51709,-73.52719,3.2,11
9,85,98,22.3,,45.5171,-73.52715,3.5,11
10,85,98,25.7,,45.517113,-73.527115,3.4,11
11,85,98,29.8,,45.51712,-73.52708,4.1,11
12,85,98,33.8,,45.51713,-73.52703,4,11
13,85,97,37.8,,45.51714,-73.526985,4,11
14,85,97,41.5,,45.517143,-73.52695,3.7,10
15,85,97,44.8,,45.51715,-73.52691,3.3,10
16,85,99,48.3,,45.51716,-73.52686,3.5,10
17,85,102,51.9,,45.51717,-73.526825,3.6,10
18,85,103,55.5,,45.517178,-73.52678,3.6,10
19,85,105,59,,45.51718,-73.52674,3.5,10
20,85,105,62.2,,45.51719,-73.5267,3.2,10
21,85,106,65.4,,45.5172,-73.52666,3.2,10
22,87,106,68.7,,45.51721,-73.52662,3.3,10
23,86,106,72.1,,45.517223,-73.52657,3.4,10
24,86,107,75.7,,45.51723,-73.52653,3.6,10
25,86,107,79.4,,45.51724,-73.52648,3.7,10
26,86,107,83,,45.517242,-73.52644,3.6,10
27,86,107,86.4,,45.517246,-73.5264,3.4,10
28,86,108,90.1,,45.517254,-73.52635,3.7,10
29,86,109,93.8,,45.51726,-73.526306,3.7,10
30,86,109,97.6,,45.517265,-73.52626,3.8,10
31,86,109,101.1,,45.517277,-73.526215,3.5,10
32,86,112,104.8,,45.51729,-73.52617,3.7,10
33,86,119,108.5,6,45.517296,-73.52612,3.7,10
34,86,119,112.1,6,45.517303,-73.526085,3.6,10
35,86,119,115.7,6,45.517307,-73.52604,3.6,10
36,86,121,119.3,6,45.517315,-73.52599,3.6,9
37,86,122,122.8,6,45.517315,-73.525955,3.5,9
38,86,122,126.3,6,45.51731,-73.5259,3.5,9
39,86,122,130.1,6.2,45.51731,-73.52586,3.8,9
40,86,122,133.4,6.2,45.51731,-73.52582,3.3,9
41,86,123,136.5,6.4,45.517307,-73.52579,3.1,9
42,86,124,139.4,6.6,45.517307,-73.52576,2.9,8
43,86,125,142,6.8,45.517307,-73.52572,2.6,8
44,86,127,144.7,6.8,45.517307,-73.52568,2.7,7
45,86,127,147.4,6.8,45.517307,-73.52565,2.7,7
46,86,127,150.1,7,45.5173,-73.52561,2.7,6
47,86,128,152.7,7.2,45.517284,-73.52557,2.6,5
48,86,130,155,7.2,45.51726,-73.52555,2.3,5
49,86,131,157.6,7.4,45.51723,-73.52553,2.6,4
50,86,131,160.8,7.4,45.517193,-73.52552,3.2,4
51,86,132,164.4,7.4,45.517155,-73.52551,3.6,4
52,86,133,168.3,7.4,45.517124,-73.52551,3.9,4
53,86,134,171.7,7.4,45.5171,-73.52551,3.4,4
54,86,134,174.6,7.6,45.51708,-73.52551,2.9,4
55,86,134,177.8,7.6,45.51705,-73.52551,3.2,4
56,86,135,181.1,7.8,45.51703,-73.52551,3.3,4
57,86,135,184.2,8,45.517006,-73.52552,3.1,4
58,86,137,187.2,8,45.51698,-73.52552,3,4
59,86,137,189.5,8.2,45.516956,-73.52553,2.3,4
60,86,137,191.6,8.4,45.516933,-73.52553,2.1,4
61,86,138,193.4,8.6,45.51691,-73.525536,1.8,4
62,86,138,195.7,8.8,45.516888,-73.525536,2.3,4
63,86,139,198.4,9.2,45.51686,-73.52553,2.7,4
64,86,139,201.2,9.4,45.516834,-73.52553,2.8,4
65,86,140,204,9.8,45.516808,-73.52552,2.8,4
66,86,141,207,10,45.516785,-73.52552,3,4
67,86,141,209.8,10.2,45.516758,-73.52552,2.8,4
68,86,142,212.5,10.6,45.516735,-73.52552,2.7,4
69,86,142,215.4,11,45.51671,-73.52552,2.9,4
70,86,142,218.5,11.2,45.516678,-73.52551,3.1,4
71,86,142,222,11.6,45.516644,-73.5255,3.5,4
72,86,142,225.5,11.8,45.516617,-73.52549,3.5,4
73,86,140,229,12.4,45.516582,-73.525475,3.5,4
74,86,140,232.7,12.6,45.51655,-73.52546,3.7,4
75,86,140,236.7,13.2,45.516514,-73.525444,4,4
